Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
gift-card,Carte cadeau,"<p>Vous cherchez à faire un cadeau original, sans décider des dates de livraison ou du type de plantes? </p>
<p>Les cartes cadeaux sont envoyées par email directement. </p>",ParisPousse,Gift Card,"",true,Title,50,,,,,"",0,,1,continue,gift_card,10.00,,false,false,,https://cdn.shopify.com/s/files/1/1063/7402/products/photo-1448832945950-bc85f82891bd.jpg?v=1479156276,,true,,,,,,,,,,,,,,,,,kg,
gift-card,,,,,,,,100,,,,,"",0,,1,continue,gift_card,25.00,,false,false,,,,,,,,,,,,,,,,,,,,,kg,
gift-card,,,,,,,,150,,,,,"",0,,1,continue,gift_card,50.00,,false,false,,,,,,,,,,,,,,,,,,,,,kg,
sapin-nordmann,Sapin - Nordmann,"<div style=""text-align: center;"">Un bout de forêt dans votre salon.</div>
<div style=""text-align: center;"">Cet objet incontournable apportera une atmosphère magique à votre intérieur !</div>
<div style=""text-align: center;"">Nos sapins Nordmann de 1er choix sont réputés pour leurs belles proportions et leur capacité à garder longuement leurs épines.</div>
<div style=""text-align: center;"">Ils sont fournis avec une véritable buche en guise de support.</div>
<p> </p>
<p> </p>",ParisPousse,"","",true,Taille,170 cm,,,,,"",0,,1,deny,manual,69.00,,true,true,"",https://cdn.shopify.com/s/files/1/1063/7402/products/shutterstock_114807562.jpg?v=1478886796,,false,,,,,,,,,,,,,,,,,kg,
sapin-nordmann,,,,,,,,190 cm,,,,,"",0,,1,deny,manual,79.00,,true,true,"",,,,,,,,,,,,,,,,,,,,kg,
sapin-nordmann,,,,,,,,240 cm,,,,,"",0,,1,deny,manual,119.00,,true,true,"",,,,,,,,,,,,,,,,,,,,kg,
sapin-nordmann,,,,,,,,290 cm,,,,,"",0,,1,deny,manual,189.00,,true,true,"",,,,,,,,,,,,,,,,,,,,kg,
pot-horticole-terre-naturelle,Pot horticole Terre Naturelle,"<h4 style=""text-align: center;""><span>Comment choisir la bonne taille de pot ?</span></h4>
<div><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt=""""></div>
<h4 style=""text-align: center;""><span>La livraison est gratuite</span></h4>
<p style=""text-align: center;"">Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4 style=""text-align: center;""><span>Terre naturelle</span></h4>
<p style=""text-align: center;"">La plupart de nos poteries viennent de Sinalunga, cette petite localité à l'est de Sienne est connue depuis la Renaissance pour son travail de la terra cotta. Le potier Maurizio Benocci, qui dirige l'entreprise familiale, fabrique les modèles traditionnels de l'artisanat toscan. Toutes nos poteries italiennes sont non-gélives et importées directement de Toscane. Les pots sont percés et livrés avec une soucoupe.</p>",ParisPousse,Pot,pot,true,Taille,S - Ø 30 cm - hauteur 28 cm,,,,,"",0,,-3,deny,manual,39.00,,true,true,"",https://cdn.shopify.com/s/files/1/1063/7402/products/My_little_Paris_Pousse.jpg?v=1461092617,,false,Livraison à domicile d'un pot horticole en terre cuite,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,,kg,
pot-horticole-terre-naturelle,,,,,,,,M- Ø 39 cm - hauteur 36 cm,,,,,"",0,,-2,deny,manual,59.00,,true,true,"",https://cdn.shopify.com/s/files/1/1063/7402/products/My_Little_Paris_Pousse_2.jpg?v=1461092671,,,,,,,,,,,,,,,,,,,kg,
pot-horticole-terre-naturelle,,,,,,,,L - Ø 48 cm - hauteur 45 cm,,,,,"",0,,1,deny,manual,69.00,,true,true,"",,,,,,,,,,,,,,,,,,,,kg,
fibertsone-lotus,Lotus Fiberstone Noir,"<div style=""text-align: center;"">
<meta charset=""utf-8"">
<h4><span>Comment choisir la bonne taille de pot ?</span></h4>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt="""">
<h4><span>La livraison est gratuite</span></h4>
<p>Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4><span>Fiberstone</span></h4>
<p>Le Fiberstone est obtenu à partir d' un mélange spécifique de fibre de verre et de poudre minérale qui lui donne sa résistance ( U.V, gel), sa légèreté ainsi que son aspect lisse et naturel. Les pots en Fiberstone sont moulés puis finis à la main.</p>
</div>",ParisPousse,Pot,pot,true,Taille,S - Ø 40 cm - Hauteur 35 cm,,,,,"",,,-4,continue,manual,69.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/lotus_1c8fbd4f-c143-446e-9ab5-aa843afb8a95.jpeg?v=1457127848,Lotus,false,Livraison à domicile d'un pot Lotus Fiberstone noir,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/lotus_1c8fbd4f-c143-446e-9ab5-aa843afb8a95.jpeg?v=1457127848,kg,
fibertsone-lotus,,,,,,,,M - Ø 50 cm - Hauteur 40 cm,,,,,"",,,-2,continue,manual,99.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/buis-boule--lotus_8db698a2-42bc-40b2-bc6c-1435661e9b94.jpeg?v=1457127848,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/lotus_1c8fbd4f-c143-446e-9ab5-aa843afb8a95.jpeg?v=1457127848,kg,
fibertsone-lotus,,,,,,,,L - Ø 58 cm - Hauteur 50 cm,,,,,"",,,1,continue,manual,139.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/philodendron--lotus.jpeg?v=1457127848,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/lotus_1c8fbd4f-c143-446e-9ab5-aa843afb8a95.jpeg?v=1457127848,kg,
fibertsone-lotus,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/kentia--lotus.jpeg?v=1457127848,,,,,,,,,,,,,,,,,,,,
fibertsone-lotus,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/pied-d_elephant-ou-tahiti-bob--lotus.jpeg?v=1457127848,,,,,,,,,,,,,,,,,,,,
fiberstone-cylindre-noir,Cylindre Fiberstone Noir,"<div style=""text-align: center;"">
<meta charset=""utf-8"">
<h4><span>Comment choisir la bonne taille de pot ?</span></h4>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt="""">
<h4><span>La livraison est gratuite</span></h4>
<p>Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4><span>Fiberstone</span></h4>
<p>Le Fiberstone est obtenu à partir d' un mélange spécifique de fibre de verre et de poudre minérale qui lui donne sa résistance ( U.V, gel), sa légèreté ainsi que son aspect lisse et naturel. Les pots en Fiberstone sont moulés puis finis à la main.</p>
</div>",ParisPousse,Pot,pot,true,Taille,S - Ø 30 cm - Hauteur 30 cm,,,,,"",,,1,continue,manual,69.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/cylindre-noir_12fb5b7f-42c3-4fcf-8b36-fab102a9b8b9.jpeg?v=1456434007,Pot de fleur fibertsone cylindre noir,false,Livraison à domicile d'un pot Cylindre Fiberstone noir,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/cylindre-noir_12fb5b7f-42c3-4fcf-8b36-fab102a9b8b9.jpeg?v=1456434007,kg,
fiberstone-cylindre-noir,,,,,,,,M - Ø 43 cm - Hauteur 30 cm,,,,,"",,,-1,continue,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/sanseveria-mikado--cylindre.jpeg?v=1456434007,Pot de fleur fibertsone cylindre noir,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/cylindre-noir_12fb5b7f-42c3-4fcf-8b36-fab102a9b8b9.jpeg?v=1456434007,kg,
fiberstone-cylindre-noir,,,,,,,,L - Ø 50 cm - Hauteur 50 cm,,,,,"",,,1,continue,manual,139.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/sanseveria--cylindre-noir.jpeg?v=1456434007,Pot de fleur fibertsone cylindre noir,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/cylindre-noir_12fb5b7f-42c3-4fcf-8b36-fab102a9b8b9.jpeg?v=1456434007,kg,
fiberstone-cylindre-noir,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/palmier-nain--cylindre-noir.jpeg?v=1456434007,Pot de fleur fibertsone cylindre noir,,,,,,,,,,,,,,,,,,,
fiberstone-cylindre-noir,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/kentia--cylindre.jpeg?v=1456434007,Pot de fleur fibertsone cylindre noir,,,,,,,,,,,,,,,,,,,
fiberstone-cylindre-noir,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/fleur-de-lune--cylindre.jpeg?v=1456434007,Pot de fleur fibertsone cylindre noir,,,,,,,,,,,,,,,,,,,
fiberstone-cylindre-noir,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/cycas-du-japon--cylindre.jpeg?v=1456434007,Pot de fleur fibertsone cylindre noir,,,,,,,,,,,,,,,,,,,
fiberstone-cylindre-noir,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/clusia--cylindre-noir_d65504ea-a523-4fc7-beab-6568f93e7972.jpeg?v=1456434007,Pot de fleur fibertsone cylindre noir,,,,,,,,,,,,,,,,,,,
fiberstone-cylindre-gris,Cylindre Fiberstone Gris,"<div style=""text-align: center;"">
<meta charset=""utf-8"">
<h4><span>Comment choisir la bonne taille de pot ?</span></h4>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt="""">
<h4><span>La livraison est gratuite</span></h4>
<p>Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4><span>Fiberstone</span></h4>
<p>Le Fiberstone est obtenu à partir d' un mélange spécifique de fibre de verre et de poudre minérale qui lui donne sa résistance ( U.V, gel), sa légèreté ainsi que son aspect lisse et naturel. Les pots en Fiberstone sont moulés puis finis à la main.</p>
</div>",ParisPousse,Pot,pot,true,Taille,S - Ø 30 cm - Hauteur 30 cm,,,,,"",,,1,continue,manual,69.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/cylindre-gris_7a2ec795-1ef2-4bc9-b00b-57da5c6a4e79.jpeg?v=1456434000,Pot de fleur fibertsone cylindre gris,false,Livraison à domicile d'un pot Cylindre Fiberstone gris,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/cylindre-gris_7a2ec795-1ef2-4bc9-b00b-57da5c6a4e79.jpeg?v=1456434000,kg,
fiberstone-cylindre-gris,,,,,,,,M - Ø 43 cm - Hauteur 30 cm,,,,,"",,,0,continue,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/clusia--cylindre-gris_6a49b914-3ad2-4119-9abc-8847f3f848cc.jpeg?v=1456434000,Pot de fleur fibertsone cylindre gris,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/cylindre-gris_7a2ec795-1ef2-4bc9-b00b-57da5c6a4e79.jpeg?v=1456434000,kg,
fiberstone-cylindre-gris,,,,,,,,L - Ø 50 cm - Hauteur 50 cm,,,,,"",,,1,continue,manual,139.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/sanseveria--cylindre-gris.jpeg?v=1456434000,Pot de fleur fibertsone cylindre gris,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/cylindre-gris_7a2ec795-1ef2-4bc9-b00b-57da5c6a4e79.jpeg?v=1456434000,kg,
terre-cylindre-haut,Cylindre Terre Naturelle Haut,"<div style=""text-align: center;"">
<meta charset=""utf-8"">
<h4><span>Comment choisir la bonne taille de pot ?</span></h4>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt="""">
<h4><span>La livraison est gratuite</span></h4>
<p>Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4><span>Terre naturelle</span></h4>
<p>La plupart de nos poteries viennent de Sinalunga, cette petite localité à l'est de Sienne est connue depuis la Renaissance pour son travail de la terra cotta. Le potier Maurizio Benocci, qui dirige l'entreprise familiale, fabrique les modèles traditionnels de l'artisanat toscan. Toutes nos poteries italiennes sont non-gélives et importées directement de Toscane. Les pots sont percés et livrés avec une soucoupe.</p>
</div>",ParisPousse,Pot,pot,true,Taille,S - Ø 40 cm x Hauteur  31 cm,,,,,"",,,-3,continue,manual,69.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/cylindre-haut_c303886c-40cd-4e48-bbc9-9b9f416f6e62.jpeg?v=1456433995,pot de fleur terre cylindre,false,Livraison à domicile d'un pot en terre naturelle,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/cylindre-haut_c303886c-40cd-4e48-bbc9-9b9f416f6e62.jpeg?v=1456433995,kg,
terre-cylindre-haut,,,,,,,,M - Ø 50 cm x Hauteur  37 cm,,,,,"",,,-2,continue,manual,99.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/olivier--cylindre-haut.jpeg?v=1456433995,pot de fleur terre cylindre,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/cylindre-haut_c303886c-40cd-4e48-bbc9-9b9f416f6e62.jpeg?v=1456433995,kg,
terre-cylindre-haut,,,,,,,,L - Ø 65cm  x Hauteur  51 cm,,,,,"",,,1,continue,manual,169.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/palmier-a-chanvre--cylindre-haut.jpeg?v=1456433995,pot de fleur terre cylindre,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/cylindre-haut_c303886c-40cd-4e48-bbc9-9b9f416f6e62.jpeg?v=1456433995,kg,
terre-cylindre-haut,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/phormium--cylindre-haut_6c98eece-4bb3-4546-9a21-f0dadd6c0c9f.jpeg?v=1456433995,pot de fleur terre cylindre,,,,,,,,,,,,,,,,,,,
terre-cylindre-haut,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/yucca--cylindre-haut.jpeg?v=1456433995,pot de fleur terre cylindre,,,,,,,,,,,,,,,,,,,
riviera-carre-conique-taupe,Carré Riviera Taupe,"<div style=""text-align: center;"">
<meta charset=""utf-8"">
<h4><span>Comment choisir la bonne taille de pot ?</span></h4>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt="""">
<h4><span>La livraison est gratuite</span></h4>
<p>Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4><span>Riviera - réserve d'eau</span></h4>
<p>Fabriqué en résine de synthèse de haute qualité, le bac “Riviera” ne craint ni soleil, ni gel. Il n’y a pas d’évaporation par les parois poreuses évitant ainsi de refroidir la terre, et de tuer les radicelles. L’hydrosystem RIVIERA permet l’hydratation des plantes par remontée capillaire de l’eau vers la terre. L’humidité reste constante et régulière conformément aux besoins de la plante. Entre l’eau et la plante, une grille toilée munie de grandes alvéoles, laisse passer l’air dont les racines ont besoin. La toile imputrescible maintient le terreau sans risque d’obstruction. Sa texture empêche les racines de traverser la grille et permet un meilleur rempotage. La nature spéciale des fibres de la toile assure la régulation de la vitesse de remontée de l’eau et sa diffusion uniforme dans le terreau (quelle que soit la composition de ce dernier).Un voyant situé sur le côté permet en un clin d’oeil de vérifier le niveau d’eau.Ce système évite tout risque d’inondation au moment du remplissage.En cas d’utilisation extérieure, il faut percer la colonne de trop plein située sous les bacs</p>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Riviera_large.png?2946902858807963042"" alt="""">
</div>",ParisPousse,Pot,pot,true,Taille,S - 35 x 35 cm - Hauteur 33 cm,,,,,"",,,1,continue,manual,69.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-taupe_9b90f6c7-630c-444e-9ceb-68c71f0c45d5.jpeg?v=1456433991,Pot riviera Carré conique taupe,false,Livraison à domicile d'un pot à réserve d'eau Riviera carré et taupe,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-taupe_9b90f6c7-630c-444e-9ceb-68c71f0c45d5.jpeg?v=1456433991,kg,
riviera-carre-conique-taupe,,,,,,,,M - 44 x 44 cm - Hauteur 41 cm,,,,,"",,,1,continue,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/riviera-taupe_2c1b0c08-0990-4793-8fad-95ff39050768.jpeg?v=1456433991,Pot riviera Carré conique taupe,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-taupe_9b90f6c7-630c-444e-9ceb-68c71f0c45d5.jpeg?v=1456433991,kg,
riviera-carre-conique-gris,Carré Riviera Noir,"<div style=""text-align: center;"">
<meta charset=""utf-8"">
<h4><span>Comment choisir la bonne taille de pot ?</span></h4>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt="""">
<h4><span>La livraison est gratuite</span></h4>
<p>Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4><span>Riviera - réserve d'eau</span></h4>
<p>Fabriqué en résine de synthèse de haute qualité, le bac “Riviera” ne craint ni soleil, ni gel. Il n’y a pas d’évaporation par les parois poreuses évitant ainsi de refroidir la terre, et de tuer les radicelles. L’hydrosystem RIVIERA permet l’hydratation des plantes par remontée capillaire de l’eau vers la terre. L’humidité reste constante et régulière conformément aux besoins de la plante. Entre l’eau et la plante, une grille toilée munie de grandes alvéoles, laisse passer l’air dont les racines ont besoin. La toile imputrescible maintient le terreau sans risque d’obstruction. Sa texture empêche les racines de traverser la grille et permet un meilleur rempotage. La nature spéciale des fibres de la toile assure la régulation de la vitesse de remontée de l’eau et sa diffusion uniforme dans le terreau (quelle que soit la composition de ce dernier).Un voyant situé sur le côté permet en un clin d’oeil de vérifier le niveau d’eau.Ce système évite tout risque d’inondation au moment du remplissage.En cas d’utilisation extérieure, il faut percer la colonne de trop plein située sous les bacs</p>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Riviera_large.png?2946902858807963042"" alt="""">
</div>",ParisPousse,Pot,pot,true,Taille,S - 35 x 35 cm - Hauteur 33 cm,,,,,"",,,1,continue,manual,69.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-gris_a82204a7-609e-48fa-ada0-4b5f722f1a8a.jpeg?v=1456433984,Pot riviera Carré conique gris,false,Livraison à domicile d'un pot à réserve d'eau Riviera carré et noir,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-gris_a82204a7-609e-48fa-ada0-4b5f722f1a8a.jpeg?v=1456433984,kg,
riviera-carre-conique-gris,,,,,,,,M - 44 x 44 cm - Hauteur 41 cm,,,,,"",,,0,continue,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/riviera-noir_a7f263c8-d1b9-42ee-bc5c-57e03ca52bcf.jpeg?v=1456433984,Pot riviera Carré conique gris,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-gris_a82204a7-609e-48fa-ada0-4b5f722f1a8a.jpeg?v=1456433984,kg,
riviera-carre-conique-gris,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/buis-boule--carre-conique_db78ce4d-1806-4d74-b23f-266767175fbb.jpeg?v=1456433984,Pot riviera Carré conique gris,,,,,,,,,,,,,,,,,,,
riviera-carre-conique-rouge,Carré Riviera Rouge,"<div style=""text-align: center;"">
<meta charset=""utf-8"">
<h4><span>Comment choisir la bonne taille de pot ?</span></h4>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt="""">
<h4><span>La livraison est gratuite</span></h4>
<p>Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4><span>Riviera - réserve d'eau</span></h4>
<p>Fabriqué en résine de synthèse de haute qualité, le bac “Riviera” ne craint ni soleil, ni gel. Il n’y a pas d’évaporation par les parois poreuses évitant ainsi de refroidir la terre, et de tuer les radicelles. L’hydrosystem RIVIERA permet l’hydratation des plantes par remontée capillaire de l’eau vers la terre. L’humidité reste constante et régulière conformément aux besoins de la plante. Entre l’eau et la plante, une grille toilée munie de grandes alvéoles, laisse passer l’air dont les racines ont besoin. La toile imputrescible maintient le terreau sans risque d’obstruction. Sa texture empêche les racines de traverser la grille et permet un meilleur rempotage. La nature spéciale des fibres de la toile assure la régulation de la vitesse de remontée de l’eau et sa diffusion uniforme dans le terreau (quelle que soit la composition de ce dernier).Un voyant situé sur le côté permet en un clin d’oeil de vérifier le niveau d’eau.Ce système évite tout risque d’inondation au moment du remplissage.En cas d’utilisation extérieure, il faut percer la colonne de trop plein située sous les bacs</p>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Riviera_large.png?2946902858807963042"" alt="""">
</div>",ParisPousse,Pot,pot,true,Taille,S - 35 x 35 cm - Hauteur 33 cm,,,,,"",,,1,continue,manual,69.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-rouge_41b3f82f-d6d3-4670-82bb-22632fa2a642.jpeg?v=1456433978,Pot riviera Carré conique rouge,false,Livraison à domicile d'un pot à réserve d'eau Riviera carré et rouge,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-rouge_41b3f82f-d6d3-4670-82bb-22632fa2a642.jpeg?v=1456433978,kg,
riviera-carre-conique-rouge,,,,,,,,M - 44 x 44 cm - Hauteur 41 cm,,,,,"",,,1,continue,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/riviera-rouge_0007aa9f-1c12-422d-98f4-e271c2d4d45b.jpeg?v=1456433978,Pot riviera Carré conique rouge,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-rouge_41b3f82f-d6d3-4670-82bb-22632fa2a642.jpeg?v=1456433978,kg,
